W,num_stas,npca_qsrc,npca_cw,seed,collision_probability_npca,aggregate_throughput,mean_access_delay,npca_transition_count
120,50,3,127,123,0.3515535097813579,1193,1614.0854987426655,10900
120,50,3,127,456,0.35135135135135137,1197,1628.9958228905598,10250
120,50,4,255,42,0.16764459346186086,1138,1765.194200351494,9568
120,50,4,255,123,0.166532582461786,1124,1804.9537366548043,9868
120,50,4,255,456,0.18676716917922948,1144,1845.9396853146852,9385
120,50,5,511,42,0.04297520661157025,981,2161.868501529052,5150
120,50,5,511,123,0.05654761904761905,930,2191.320430107527,5314
120,50,5,511,456,0.05161290322580645,934,2151.4421841541757,4960
170,10,0,15,42,0.5176663927691043,1318,262.94385432473445,1520
170,10,0,15,123,0.5284911717495987,1352,257.0207100591716,1529
170,10,0,15,456,0.5321761219305673,1284,270.14719626168227,1450
170,10,1,31,42,0.32728410513141426,1241,308.45850120870267,1470
170,10,1,31,123,0.30617283950617286,1335,280.09213483146067,1520
170,10,1,31,456,0.33353365384615385,1305,284.42452107279695,1510
170,10,2,63,42,0.15049864007252947,1244,319.7773311897106,1390
170,10,2,63,123,0.19904458598726116,1243,304.9750603378922,1520
170,10,2,63,456,0.16666666666666666,1226,318.33768352365416,1470
170,10,3,127,42,0.06720741599073002,1120,363.3723214285714,1470
170,10,3,127,123,0.0880503144654088,1118,370.8783542039356,1570
170,10,3,127,456,0.0660486674391657,1075,383.3646511627907,1480
170,10,4,255,42,0.03231017770597738,1001,411.90609390609393,1480
170,10,4,255,123,0.041116005873715125,950,446.8157894736842,1630
170,10,4,255,456,0.04075235109717868,954,444.29245283018867,1510
170,10,5,511,42,0.0,679,634.8954344624448,662
170,10,5,511,123,0.0091324200913242,692,640.4927745664739,621
