part,tier,W,ppdu_duration,W_avail,K,num_stas,npca_qsrc,npca_cw,seed,collision_probability_npca,aggregate_throughput,mean_access_delay,npca_transition_count,avg_tx_per_visit
1,,230,20,210,10.5,30,1,31,42,0.6934346174715138,1239,653.2937853107345,3300,1.116969696969697
1,,230,20,210,10.5,30,1,31,123,0.6940916620651574,1217,666.5341002465078,3240,1.1179012345679011
1,,230,20,210,10.5,30,1,31,456,0.6955102040816327,1262,653.7353407290016,3300,1.1136363636363635
1,,230,20,210,10.5,30,2,63,42,0.42215088282504015,1262,879.4825673534073,3210,0.5822429906542056
1,,230,20,210,10.5,30,2,63,123,0.42049656629688326,1242,870.7898550724638,3270,0.5788990825688073
1,,230,20,210,10.5,30,2,63,456,0.42835820895522386,1177,938.0433305012745,3420,0.5877192982456141
1,,230,20,210,10.5,30,3,127,42,0.23820754716981132,1140,1052.561403508772,3120,0.4076923076923077
1,,230,20,210,10.5,30,3,127,123,0.24189902034664656,1157,953.6784788245462,3240,0.4095679012345679
1,,230,20,210,10.5,30,3,127,456,0.20679012345679013,1173,974.1091219096335,3270,0.3963302752293578
1,,230,20,210,10.5,30,4,255,42,0.11954261954261955,1097,1124.54968094804,3150,0.3053968253968254
1,,230,20,210,10.5,30,4,255,123,0.1179245283018868,1078,1157.922077922078,3420,0.30994152046783624
1,,230,20,210,10.5,30,4,255,456,0.10604453870625663,1110,1115.0945945945946,3120,0.3022435897435897
1,,230,20,210,10.5,30,5,511,42,0.0632688927943761,932,1267.4785407725321,2215,0.2568848758465011
1,,230,20,210,10.5,30,5,511,123,0.05063291139240506,923,1341.6034669555797,2344,0.2696245733788396
1,,230,20,210,10.5,30,5,511,456,0.03773584905660377,882,1418.4104308390022,2512,0.2531847133757962
1,,300,20,280,14.0,30,0,15,42,0.8281021304277119,1218,482.5008210180624,2460,2.4995934959349593
1,,300,20,280,14.0,30,0,15,123,0.8310537768106931,1181,458.4149026248942,2520,2.553174603174603
1,,300,20,280,14.0,30,0,15,456,0.8315107913669064,1196,472.0526755852843,2730,2.5457875457875456
1,,300,20,280,14.0,30,1,31,42,0.7025873566284343,1252,627.2651757188498,2520,1.4876984126984127
1,,300,20,280,14.0,30,1,31,123,0.6885952312553864,1197,672.4720133667502,2430,1.4325102880658436
1,,300,20,280,14.0,30,1,31,456,0.7024076147816349,1226,678.5024469820555,2400,1.4883333333333333
1,,300,20,280,14.0,30,2,63,42,0.4335458558116724,1205,850.1809128630705,2640,0.7723484848484848
1,,300,20,280,14.0,30,2,63,123,0.4573560767590618,1179,855.4826123833758,2340,0.8017094017094017
1,,300,20,280,14.0,30,2,63,456,0.411434405308831,1216,882.7927631578947,2610,0.7505747126436781
1,,300,20,280,14.0,30,3,127,42,0.24550484094052558,1187,930.1187868576243,2670,0.5415730337078651
1,,300,20,280,14.0,30,3,127,123,0.27219321148825065,1174,972.870528109029,2730,0.5611721611721612
1,,300,20,280,14.0,30,3,127,456,0.2505322924059617,1142,1022.399299474606,2580,0.546124031007752
1,,300,20,280,14.0,30,4,255,42,0.12720156555772993,1111,1090.4005400540054,2520,0.40555555555555556
1,,300,20,280,14.0,30,4,255,123,0.14300100704934543,1114,985.4533213644524,2400,0.41375
1,,300,20,280,14.0,30,4,255,456,0.11794871794871795,1104,1058.893115942029,2460,0.39634146341463417
1,,300,20,280,14.0,30,5,511,42,0.08147174770039421,981,1192.6493374108054,2580,0.29496124031007753
1,,300,20,280,14.0,30,5,511,123,0.07940780619111709,967,1267.5987590486038,2490,0.29839357429718877
1,,300,20,280,14.0,30,5,511,456,0.07086614173228346,968,1257.1311983471073,2580,0.29534883720930233
1,,420,20,400,20.0,30,0,15,42,0.8005971422478141,1217,542.2703368940016,1530,3.0647058823529414
1,,420,20,400,20.0,30,0,15,123,0.8033707865168539,1221,521.4561834561835,1920,3.059375
1,,420,20,400,20.0,30,0,15,456,0.8028541226215645,1208,494.16887417218544,1830,3.101639344262295
1,,420,20,400,20.0,30,1,31,42,0.657012691181256,1207,666.9030654515327,1710,1.7970760233918128
1,,420,20,400,20.0,30,1,31,123,0.6627185561195713,1223,674.5944399018806,1920,1.846875
1,,420,20,400,20.0,30,1,31,456,0.6765389082462253,1235,648.063967611336,1800,1.9133333333333333
1,,420,20,400,20.0,30,2,63,42,0.46799007444168733,1218,841.5303776683087,1740,1.1580459770114941
1,,420,20,400,20.0,30,2,63,123,0.4306800210859251,1224,863.5522875816994,1740,1.0902298850574712
1,,420,20,400,20.0,30,2,63,456,0.45799457994579945,1202,857.712146422629,1950,1.1353846153846154
1,,420,20,400,20.0,30,3,127,42,0.22496147919876733,1156,969.6314878892733,1770,0.7333333333333333
1,,420,20,400,20.0,30,3,127,123,0.2771618625277162,1154,904.7253032928943,1710,0.7912280701754386
1,,420,20,400,20.0,30,3,127,456,0.23451635351426584,1156,995.136678200692,1920,0.7484375
1,,420,20,400,20.0,30,4,255,42,0.12326043737574553,1065,1058.0356807511737,1770,0.5683615819209039
1,,420,20,400,20.0,30,4,255,123,0.13891726251276812,1109,1001.7944093778178,1680,0.5827380952380953
1,,420,20,400,20.0,30,4,255,456,0.12344582593250444,1088,1094.5514705882354,1950,0.5774358974358974
1,,420,20,400,20.0,30,5,511,42,0.06017191977077364,974,1210.8665297741272,1680,0.4154761904761905
1,,420,20,400,20.0,30,5,511,123,0.06097560975609756,977,1226.2446264073694,1740,0.4241379310344828
1,,420,20,400,20.0,30,5,511,456,0.04450625869262865,981,1184.6299694189602,1770,0.4062146892655367
1,,600,20,580,29.0,30,0,15,42,0.7666362807657247,1182,550.4856175972927,1170,3.7504273504273504
1,,600,20,580,29.0,30,0,15,123,0.7675736961451247,1162,562.2504302925989,1170,3.769230769230769
1,,600,20,580,29.0,30,0,15,456,0.7741609381318237,1172,513.1868600682594,1290,3.8341085271317827
1,,600,20,580,29.0,30,1,31,42,0.6371742112482853,1195,689.8426778242678,1200,2.43
1,,600,20,580,29.0,30,1,31,123,0.6419354838709678,1221,681.6093366093367,1380,2.471014492753623
1,,600,20,580,29.0,30,1,31,456,0.6392405063291139,1189,729.2674516400336,1290,2.449612403100775
1,,600,20,580,29.0,30,2,63,42,0.46005154639175255,1181,807.8585944115157,1440,1.6166666666666667
1,,600,20,580,29.0,30,2,63,123,0.4582043343653251,1218,833.8070607553366,1200,1.615
1,,600,20,580,29.0,30,2,63,456,0.44860255802937,1245,804.2409638554217,1320,1.5992424242424241
1,,600,20,580,29.0,30,3,127,42,0.27359180687637163,1152,901.2578125,1200,1.1391666666666667
